Anglican,Nonconformist
destalinize,stalinize
destroyed,preserved
destructibility,indestructibility
destructible,indestructible
destructive,constructive
destructiveness,constructiveness
desynchronize,synchronise
desynchronize,synchronize
detach,attach
detach,attach
detachable,attachable
detached,attached
detected,undetected
determinable,indeterminable
determinate,indeterminate
determinate,indeterminate
determined,undetermined
dethrone,enthrone
detransitivize,transitivize
detribalization,tribalisation
detribalization,tribalization
detrimentally,harmlessly
developed,undeveloped
development,devolution
deviate,conform
devitalize,vitalize
devoice,voice
devolve,recuperate
dextral,sinistral
dextrorotation,levorotation
diabatic,adiabatic
diachronic,synchronic
diadromous,anadromous
diadromous,catadromous
diapsid,anapsid
diatonic,chromatic
diclinous,monoclinous
dicotyledonous,monocotyledonous
differ,equal
difference,sameness
different,same
differentiate,dedifferentiate
differentiate,integrate
differentiated,undifferentiated
difficult,easy
difficulty,ease
diffidence,confidence
diffident,confident
digestibility,indigestibility
digestible,indigestible
digital,analogue
digitigrade,plantigrade
dignified,undignified
diligent,negligent
diluted,undiluted
dilution,concentration
diminution,augmentation
dimmed,undimmed
dioecious,monoecious
diploid,haploid
diploid,polyploid
diplomatic,undiplomatic
diplomatically,undiplomatically
direct,alternating
direct,indirect
direct,indirect
direct,inverse
direct,retrograde
directional,omnidirectional
directly,indirectly
directness,indirectness
dirtiness,cleanness
dirty,clean
dirty,clean
dirty,clean
dirty,clean
disable,enable
disabling,enabling
disadvantage,advantage
disadvantage,advantage
disadvantageous,advantageous
disagree,agree
disagree,agree
disagreeable,agreeable
disagreeableness,agreeableness
disagreeableness,agreeableness
disagreeably,agreeably
disagreement,agreement
disagreement,agreement
disappear,appear
disappearance,appearance
disappearance,appearance
disapprobation,approbation
disapproval,approval
disapproval,approval
disapproval,approval
disapprove,approve
disapprove,approve
disapprovingly,approvingly
disarm,arm
disarming,armament
disarming,arming
disarrange,arrange
disarranged,arranged
disassemble,assemble
disassociation,association
disavow,avow
disbelieve,believe
discalced,calced
discernible,indiscernible
discerning,undiscerning
discharge,charge
discharge,enlist
discipline,indiscipline
disclaim,claim
disclaim,claim
discolor,color
discomfort,comfort
discomposed,composed
discomposure,composure
disconnect,connect
discontent,content
discontented,contented
discontentment,contentment
discontinuance,continuance
discontinuance,continuation
discontinue,continue
discontinue,continue
discontinued,continued
discontinuity,continuity
discontinuous,continuous
discontinuous,continuous
discordant,accordant
discourage,encourage
discouragement,encouragement
discouraging,encouraging
discouragingly,encouragingly
discourteous,courteous
discourtesy,courtesy
discreet,indiscreet
discreetly,indiscreetly
discriminate,indiscriminate
discriminating,undiscriminating
disembark,embark
disembarrassment,embarrassment
disenchant,enchant
disenchanted,enchanted
disenfranchise,enfranchise
disenfranchised,enfranchised
disenfranchisement,enfranchisement
disengage,engage
disengage,engage
disentangle,entangle
disentangle,snarl
disequilibrium,equilibrium
disesteem,esteem
disfluency,fluency
dishearten,hearten
dishonest,honest
dishonestly,honestly
dishonesty,honesty
dishonor,honor
dishonor,honor
dishonor,honor
dishonor,honor
dishonorable,honorable
dishonorableness,honorableness
dishonorably,honorably
dishonorably,honorably
disincarnate,incarnate
disincentive,incentive
disinclination,inclination
disinclined,inclined
disinfect,infect
disinflation,deflation
disinflation,inflation
disingenuous,ingenuous
disingenuousness,ingenuousness
disinherit,bequeath
disintegrate,integrate
disintegrative,integrative
disjoin,join
disjoin,join
disjunct,conjunct
disjunction,connectedness
disjunctive,conjunctive
dislike,like
dislike,liking
disliked,liked
dislodge,lodge
disloyal,loyal
disloyally,loyally
disloyalty,loyalty
dismantling,assembly
dismantling,assembly
disobedience,compliance
disobedience,obedience
disobedience,obedience
disobedient,obedient
disobediently,obediently
disobey,obey
disoblige,oblige
disorder,order
disorder,order
disordered,ordered
disorderliness,order
disorderliness,orderliness
disorderly,orderly
disorganize,organise
disorganize,organize
disorganized,organized
disorient,orient
disorienting,orienting
disparage,flatter
dispensability,indispensability
dispensability,indispensableness
dispensable,indispensable
displace,hire
displease,please
displeased,pleased
displeasing,pleasing
disposable,nondisposable
disposable,nondisposable
dispose,indispose
disproportion,proportion
disproportionate,proportionate
disproportionately,proportionately
disproportionately,proportionately
disprove,prove
disqualify,qualify
disqualify,qualify
disreputable,reputable
disreputably,reputably
disrepute,repute
disrespect,esteem
disrespect,respect
disrespect,respect
disrespect,respect
disrespectful,respectful
disrespectfully,respectfully
dissatisfaction,satisfaction
dissatisfy,satisfy
dissent,assent
disservice,service
dissimilar,similar
dissimilarity,similarity
dissimilate,assimilate
dissimilate,assimilate
dissimilate,assimilate
dissonance,harmony
dissuade,persuade
dissuasion,persuasion
dissuasive,persuasive
distal,mesial
distal,proximal
distant,close
distant,close
distinct,indistinct
distinctness,indistinctness
distinctness,softness
distinguishable,indistinguishable
distributary,tributary
distributed,concentrated
distribution,concentration
distributive,collective
distrust,trust
distrust,trust
distrust,trust
distrustful,trustful
distrustfully,trustfully
disunify,unify
disunion,union
diurnal,nocturnal
diverge,converge
diverge,converge
diverge,converge
diverge,converge
divergence,convergence
divergence,convergency
divergent,convergent
diversified,undiversified
diversify,specialise
diversify,specialize
divest,invest
divest,invest
divide,multiply
divide,unite
divided,united
divisible,indivisible
do,unmake
docile,stubborn
dock,undock
dock,undock
documented,undocumented
dolichocephalic,brachycephalic
domestic,foreign
domestic,undomestic
dominant,recessive
dominant,subordinate
domineering,submissive
dormant,active
dorsal,ventral
double,single
double-barreled,single-barreled
double-breasted,single-breasted
doubt,certainty
dove,hawk
dovishness,hawkishness
down,up
down,up
down,up
down,up
down,upward
down,upwardly
down,upwards
downgrade,upgrade
download,upload
downmarket,upmarket
downriver,upriver
downriver,upstream
downstage,upstage
downstage,upstage
downstairs,upstairs
downstairs,upstairs
downstream,upstream
downtick,uptick
downtime,uptime
downtown,uptown
downtown,uptown
downwind,upwind
draftee,volunteer
drained,undrained
dramatic,lyric
dramatic,undramatic
dramatically,undramatically
dress,undress
dress,undress
drinkable,undrinkable
drinker,nondrinker
driver,nondriver
drunkenness,soberness
dry,phlegmy
dry,sweet
dry,wet
dry,wet
dry,wet
dry,wet
dry,wet
dryness,wetness
due,undue
due,undue
dull,bright
dull,lively
dull,sharp
dull,sharp
dull,sharpen
dullness,brightness
dullness,sharpness
dullness,sharpness
dying,nascent
dynamic,undynamic
dysgenic,eugenic
dysgenics,eugenics
dysphemism,euphemism
dysphemistic,euphemistic
dysphoria,euphoria
dysphoric,euphoric
dystopia,utopia
dystopian,utopian
eager,uneager
eared,earless
earless,eared
earliness,lateness
early,late
early,late
early,late
early,late
early,middle
early,middle
earned,unearned
earthly,heavenly
ease,difficulty
east,west
easterly,westerly
eastern,western
eastern,western
easy,difficult
easy,uneasy
ebb,tide
ebracteate,bracteate
eccentric,concentric
eccentricity,concentricity
eccrine,apocrine
ecdemic,endemic
ecdemic,epidemic
echoic,nonechoic
ectomorphic,endomorphic
ectomorphic,mesomorphic
edible,inedible
edifying,unedifying
educated,uneducated
effective,ineffective
effectiveness,ineffectiveness
effector,receptor
effectually,ineffectually
efferent,afferent
effervescent,noneffervescent
efficacious,inefficacious
efficaciously,ineffectively
efficaciously,inefficaciously
efficacy,inefficacy
efficiency,inefficiency
efficient,inefficient
efficiently,inefficiently
effortful,effortless
effortfulness,effortlessness
effortless,effortful
effortlessness,effortfulness
egalitarian,elitist
egoism,altruism
egoistic,altruistic
egotistically,unselfishly
egress,immersion
egress,ingress
elaborate,contract
elastic,inelastic
elasticity,inelasticity
elate,depress
elated,dejected
elation,depression
elective,appointive
elegance,inelegance
elegant,inelegant
elegantly,inelegantly
eligibility,ineligibility
eligible,ineligible
elitist,egalitarian
eloquently,inarticulately
eloquently,ineloquently
embark,disembark
embarrassment,disembarrassment
emigrate,immigrate
emit,absorb
emmetropic,ametropic
emotional,cerebral
emotional,unemotional
emotionality,unemotionality
emotionally,unemotionally
empirical,theoretical
empirically,theoretically
employable,unemployable
employed,unemployed
employee,employer
employer,employee
employment,unemployment
emptiness,fullness
empty,fill
empty,fill
empty,full
emulsify,demulsify
emulsify,demulsify
enable,disable
enabling,disabling
enchant,disenchant
enchanted,disenchanted
enclosed,unenclosed
encode,decode
encourage,discourage
encouragement,discouragement
encouraging,discouraging
encouragingly,discouragingly
encumbered,unencumbered
end,begin
end,begin
end,begin
end,beginning
end,beginning
end,middle
end,middle
end-stopped,run-on
endemic,cosmopolitan
endemic,ecdemic
endemic,epidemic
endergonic,exergonic
ending,beginning
endocentric,exocentric
endocrine,exocrine
endoergic,exoergic
endogamous,autogamous
endogamous,exogamous
endogamous,exogamous
endogamy,exogamy
endogenous,exogenic
endogenous,exogenous
endomorphic,ectomorphic
endomorphic,mesomorphic
endothermic,exothermic
endotoxin,exotoxin
endowed,unendowed
energetic,lethargic
enforce,exempt
enforceable,unenforceable
enforced,unenforced
enfranchise,disenfranchise
enfranchised,disenfranchised
engage,disengage
engage,disengage
engagement,non-engagement
engagement,non-involvement
engagement,nonparticipation
enjoy,suffer
enlightened,unenlightened
enlightening,unenlightening
enlightenment,unenlightenment
enlist,discharge
enliven,deaden
enlivened,unenlivened
enrich,deprive
enrich,impoverish
entangle,disentangle
entangle,unsnarl
enter,exit
enterprising,unenterprising
enthrone,dethrone
enthusiastic,unenthusiastic
enthusiastically,unenthusiastically
entomophilous,anemophilous
entozoic,epizoic
environmentalism,hereditarianism
epidemic,ecdemic
epidemic,endemic
epizoic,entozoic
equal,differ
equal,unequal
equality,inequality
equatorial,polar
equilibrium,disequilibrium
equipped,unequipped
equitable,inequitable
equitably,inequitably
equivalence,nonequivalence
equivocal,unequivocal
eradicable,ineradicable
erase,record
erect,unerect
eremite,cenobite
eremitic,cenobitic
errancy,inerrancy
escalate,de-escalate
esoteric,exoteric
essential,inessential
essentiality,inessentiality
establish,abolish
established,unestablished
esteem,disesteem
estimable,contemptible
estivate,hibernate
estivate,hibernate
estrous,anestrous
estrus,anestrus
ethical,unethical
ethically,unethically
eudemon,cacodemon
eugenic,dysgenic
eugenics,dysgenics
eukaryote,prokaryote
eukaryotic,procaryotic
eukaryotic,prokaryotic
euphemism,dysphemism
euphemistic,dysphemistic
euphonious,cacophonous
euphoria,dysphoria
euphoric,dysphoric
eusporangiate,leptosporangiate
evasion,payment
even,odd
even,uneven
evenly,unequally
evenly,unevenly
evenly,unevenly
evenness,unevenness
evenness,unevenness
evenness,variability
eventful,uneventful
evergreen,deciduous
evil,good
evil,good
evil,goodness
evitable,inevitable
exact,inexact
exactness,inexactness
exaggeration,understatement
exaugural,inaugural
exchangeability,unexchangeability
exchangeable,unexchangeable
excitable,unexcitable
excited,unexcited
exciting,unexciting
excitingly,unexcitingly
exclude,admit
exclude,include
exclude,include
exclusion,inclusion
exclusive,inclusive
excommunicate,communicate
exculpatory,inculpatory
excusable,inexcusable
excusably,inexcusably
excusably,unforgivably
excusably,unpardonably
exempt,enforce
exempt,nonexempt
exergonic,endergonic
exhale,inhale
exhausted,unexhausted
exhaustible,inexhaustible
existent,nonexistent
exit,enter
exocentric,endocentric
exocrine,endocrine
exoergic,endoergic
exogamous,autogamous
exogamous,endogamous
exogamous,endogamous
exogamy,endogamy
exogenous,endogenic
exogenous,endogenous
exon,intron
exoteric,esoteric
exothermic,endothermic
exotoxin,endotoxin
expand,contract
expanded,contracted
expansion,contraction
expansive,unexpansive
expatriate,repatriate
expected,unexpected
expectedness,unexpectedness
expedience,inexpedience
expedience,inexpediency
expedient,inexpedient
expediently,inexpediently
expendable,unexpendable
expensive,cheap
expensively,cheaply
expensiveness,inexpensiveness
experience,inexperience
experienced,inexperienced
expertly,amateurishly
expired,unexpired
explicable,inexplicable
explicit,implicit
explicitly,implicitly
explicitness,inexplicitness
explode,implode
exploited,unexploited
exploratory,nonexploratory
explosive,nonexplosive
export,import
export,import
export,import
exportable,unexportable
express,local
expressible,inexpressible
expressively,inexpressively
exsiccate,hydrate
extant,extinct
extended,unextended
extensile,nonextensile
extension,flexion
extensive,intensive
exterior,interior
external,internal
externally,internally
extinct,active
extinct,extant
extinguishable,inextinguishable
extracellular,intracellular
extramural,intramural
extraordinariness,ordinariness
extraordinary,ordinary
extrasensory,sensory
extraterritorial,territorial
extraversion,ambiversion
extraversion,introversion
extricable,inextricable
extrinsic,intrinsic
extrospective,introspective
extroversive,ambiversive
extroversive,introversive
extrovert,introvert
extrusive,intrusive
eyed,eyeless
eyeless,eyed
fabrication,disassembly
faced,faceless
faceless,faced
faceted,unfaceted
factory-made,homemade
factuality,counterfactuality
facultative,obligate
fail,manage
fail,pass
fail,pass
fail,succeed
failing,passing
failure,achiever
failure,success
failure,success
faintheartedness,stoutheartedness
fair,foul
fair,unfair
fairly,unfairly
fairness,inequity
fairness,unfairness
fairness,unfairness
faithful,unfaithful
faithful,unfaithful
faithfully,undependably
faithfully,unfaithfully
faithfully,unreliably
fall,rise
fall,rise
fallibility,infallibility
fallible,infallible
falling,rising
false,true
falsehood,truth
falsify,correct
falsity,truth
fame,infamy
fame,infamy
familiar,strange
familiar,unfamiliar
familiarity,unfamiliarity
fancify,uglify
fancy,plain
far,near
farness,nearness
farsighted,nearsighted
fashionable,unfashionable
fashionably,unfashionably
fast,slow
fast,slow
fast,slow
fasten,unfasten
fasten,unfasten
fastened,unfastened
fastidious,unfastidious
fastidious,unfastidious
fastness,looseness
fat,thin
fatal,nonfatal
father,mother
fathomable,unfathomable
fatness,leanness
fatty,nonfat
fauna,flora
favorable,unfavorable
favorable,unfavorable
favorableness,unfavorableness
favorably,unfavorably
fear,fearlessness
fearfully,fearlessly
fearfulness,fearlessness
fearlessly,fearfully
fearlessness,fear
fearlessness,fearfulness
feasibility,infeasibility
feathered,unfeathered
febrile,afebrile
federal,unitary
feed,starve
feeder,distributary
feelingly,unfeelingly
felicitous,infelicitous
felicitously,infelicitously
felicity,infelicity
female,androgynous
female,male
female,male
female,male
femaleness,maleness
feminine,masculine
feminine,masculine
feminine,neuter
femininity,masculinity
ferned,fernless
fernless,ferned
fertile,sterile
fertility,infertility
few,many
fewer,more
fewest,most
fictional,nonfictional
fidelity,infidelity
fidelity,unfaithfulness
figurative,literal
figuratively,literally
figure,ground
filial,parental
filial,parental
fill,empty
fill,empty
filled,unfilled
finality,inconclusiveness
find,lose
fine,coarse
finely,coarsely
fingered,fingerless
fingerless,fingered
finish,start
finished,unfinished
finished,unfinished
finite,infinite
finite,infinite
finitely,infinitely
finiteness,infiniteness
firmness,unsoundness
first,last
first,second
fiscal,nonfinancial
fissile,nonfissile
fissionable,nonfissionable
fit,unfit
fit,unfit
fitness,unfitness
fitness,unfitness
fixed,unfixed
flash-forward,flashback
flashback,flash-forward
flat,contrasty
flat,natural
flat,sharp
flatten,sharpen
flatter,disparage
flattering,unflattering
fledged,unfledged
flex,unbend
flexibility,inflexibility
flexibility,inflexibility
flexible,inflexible
flexible,inflexible
flexibly,inflexibly
flexion,extension
float,sink
floored,ceilinged
flowering,flowerless
flowerless,flowering
fluency,disfluency
focus,blur
focus,blur
focus,blur
focused,unfocused
foe,friend
fold,unfold
follow,precede
follower,leader
following,leading
folly,wisdom
foolish,wise
foolishly,wisely
foot,head
footed,footless
footless,footed
forbid,allow
forbid,permit
forceful,forceless
forceless,forceful
fore,aft
fore,aft
foreground,background
forehand,backhand
foreign,domestic
foreign,native
foreigner,citizen
foreignness,nativeness
forfeit,claim
forget,mind
forget,remember
forget,remember
forgettable,unforgettable
forgiving,unforgiving
forgivingly,unforgivingly
formal,informal
formal,informal
formalism,imitation
formality,informality
formally,informally
formed,unformed
former,latter
former,latter
forte,piano
forte,piano
fortissimo,pianissimo
fortunate,unfortunate
fortunately,unfortunately
fortunately,unluckily
forward,backward
forward,backward
forward,backward
forward,reverse
fossorial,cursorial
foul,fair
found,lost
fractional,whole
fragrant,malodorous
frail,robust
framed,unframed
fraternal,identical
free,bound
free,confine
free,obstruct
free,unfree
free,unfree
freelance,salaried
freeze,boil
freeze,unblock
freeze,unfreeze
frequent,infrequent
frequently,infrequently
frequently,rarely
fresh,preserved
fresh,salty
fresh,stale
freshness,staleness
fretted,unfretted
friendliness,unfriendliness
friendliness,unfriendliness
friendly,hostile
friendly,hostile
friendly,unfriendly
friendly,unfriendly
frivolity,seriousness
frivolous,serious
front,back
front,back
front,back
front,rear
front,rear
frozen,unfrozen
fruitful,unfruitful
fruitfulness,fruitlessness
fruitlessness,fruitfulness
fueled,unfueled
full,empty
full,thin
full-term,premature
full-time,half-time
full-time,part-time
fullness,emptiness
function,malfunction
functional,nonfunctional
functional,organic
functioning,malfunctioning
funded,unfunded
furnished,unfurnished
furrowed,unfurrowed
fuse,defuse
future,past
future,past
future,present
futurity,pastness
futurity,presentness
gabled,hipped
gain,loss
gain,reduce
gallantly,unchivalrously
gaseous,liquid
gaseous,solid
gather,spread
geared,ungeared
general,local
general,particular
general,specific
general,specific
generality,particularity
generalize,specify
generally,specifically
generative,consumptive
generic,varietal
generosity,stinginess
generous,stingy
generous,ungenerous
genuine,counterfeit
genuineness,spuriousness
geocentric,heliocentric
geographic,magnetic
geometrically,linearly
germfree,germy
germy,germfree
give,take
glad,sad
gladden,sadden
gladden,sadden
glazed,unglazed
glazed,unglazed
gleefully,joylessly
glorious,inglorious
gloved,gloveless
gloveless,gloved
gluttonous,abstemious
glycerolize,deglycerolize
gnostic,agnostic
go,come
go,no-go
godliness,ungodliness
good,bad
good,bad
good,badness
good,evil
good,evil
good,evilness
good-natured,ill-natured
graceful,awkward
gracefully,gracelessly
gracefulness,awkwardness
gracelessly,gracefully
gracious,ungracious
graciously,ungracefully
graciously,ungraciously
graciousness,ungraciousness
gradual,steep
gradual,sudden
gradualness,abruptness
grammatical,ungrammatical
grammatically,ungrammatically
granter,withholder
grassless,grassy
grassy,grassless
grateful,ungrateful
gratitude,ingratitude
gravitation,levitation
gravity,levity
greater,lesser
green,ripe
greenness,ripeness
gregarious,ungregarious
gregarious,ungregarious
groomed,ungroomed
gross,net
ground,figure
growth,nondevelopment
grudgingly,ungrudgingly
guided,unguided
guilt,innocence
guilty,innocent
gusseted,ungusseted
gutless,gutsy
gutlessness,gutsiness
gutsiness,gutlessness
gutsy,gutless
hairiness,hairlessness
hairless,hairy
hairlessness,hairiness
hairy,hairless
half,whole
half-time,full-time
handed,handless
handily,inconveniently
handiness,inaccessibility
handiness,unavailability
handled,handleless
handleless,handled
handless,handed
handmade,machine-made
haploid,diploid
haploid,polyploid
happen,dematerialise
happen,dematerialize
happily,sadly
happily,unhappily
happiness,sadness
happiness,unhappiness
happy,unhappy
hard,soft
hard,soft
hard,soft
hard,soft
hardball,softball
harden,soften
harden,soften
hardened,soft
hardhearted,softhearted
hardness,softness
hardware,software
harmful,harmless
harmless,harmful
harmlessly,harmfully
harmonic,nonharmonic
harmonious,inharmonious
harmony,dissonance
harness,unharness
hate,love
hate,love
hateful,lovable
hatless,hatted
hatted,hatless
have,lack
hawk,dove
hawkishness,dovishness
head,foot
head,rear
head,tail
headed,headless
headed,unheaded
headless,headed
health,illness
health,unwellness
healthful,unhealthful
healthfulness,unhealthfulness
healthy,unhealthy
hearing,deaf
heat,cool
heat,cool
heavenly,earthly
heavily,lightly
heaviness,lightness
heavy,light
heavy,light
heavy,light
heavy,light
heavy,light
heavy,light
heavy-duty,light-duty
heavy-footed,light-footed
heedful,heedless
heedless,heedful
heliocentric,geocentric
helpful,unhelpful
helpfully,unhelpfully
herbivorous,carnivorous
herbivorous,insectivorous
herbivorous,omnivorous
here,there
here,there
here,there
hereditarianism,environmentalism
hereness,thereness
hesitantly,unhesitatingly
heterocercal,homocercal
heterodactyl,zygodactyl
heteroecious,autoecious
heterogeneity,homogeneity
heterogeneous,homogeneous
heterogenous,autogenous
heterologous,analogous
heterologous,autologous
heterologous,homologous
heterologous,homologous
heterosexual,bisexual
heterosexual,homosexual
heterotrophic,autotrophic
heterozygosity,homozygosity
heterozygous,homozygous
heuristic,algorithmic
hibernate,aestivate
hibernate,estivate
hide,show
hierarchical,nonhierarchical
high,low
high,low
high,low
high,low
high-interest,low-interest
high-resolution,low-resolution
high-rise,low-rise
high-sudsing,low-sudsing
high-tech,low-tech
high-tension,low-tension
highland,lowland
highness,lowness
hipless,hipped
hipped,gabled
hipped,hipless
hire,fire
historical,ahistorical
hit,miss
hitch,unhitch
holiness,unholiness
holism,atomism
holistic,atomistic
hollow,solid
hollowness,solidity
holophytic,holozoic
holozoic,holophytic
holy,unholy
home,away
homemade,factory-made
homeopathic,allopathic
homeopathy,allopathy
homocercal,heterocercal
homogeneity,heterogeneity
homogeneous,heterogeneous
homogenize,curdle
homogenize,curdle
homogenize,curdle
homologous,analogous
homologous,autologous
homologous,heterologous
homologous,heterologous
homosexual,bisexual
homosexual,heterosexual
homozygosity,heterozygosity
homozygous,heterozygous
honest,dishonest
honestly,dishonestly
honesty,dishonesty
honor,dishonor
honor,dishonor
honor,dishonor
honor,dishonor
honorable,dishonorable
honorableness,dishonorableness
honorably,dishonorably
honorably,dishonorably
honoring,nonobservance
hook,unhook
hope,despair
hope,despair
hopeful,hopeless
hopefully,hopelessly
hopefulness,hopelessness
hopeless,hopeful
hopelessly,hopefully
hopelessness,hopefulness
horizontal,inclined
horizontal,vertical
horned,hornless
hornless,horned
hospitable,inhospitable
hospitable,inhospitable
hospitableness,inhospitableness
hospitably,inhospitably
host,parasite
hostile,amicable
hostile,friendly
hostile,friendly
hot,cold
hot,cold
hotness,coldness
human,nonhuman
humane,inhumane
humanely,inhumanely
humaneness,inhumaneness
humanize,dehumanize
humble,proud
humidify,dehumidify
humility,conceit
humility,pride
humorless,humorous
humorlessly,humorously
humorous,humorless
humorously,humorlessly
hungry,thirsty
hurried,unhurried
hurriedly,unhurriedly
husband,wife
husbandly,wifely
hush,louden
hydrate,dehydrate
hydric,mesic
hydric,xeric
hydrogenate,dehydrogenate
hydrokinetic,hydrostatic
hydrophilic,hydrophobic
hydrophobic,hydrophilic
hydrostatic,hydrokinetic
hydrous,anhydrous
hygienically,unhygienically
hypercalcemia,hypocalcemia
hypercapnia,hypocapnia
hypercatalectic,acatalectic
hypercatalectic,catalectic
hyperglycemia,hypoglycemia
hyperkalemia,hypokalemia
hypernatremia,hyponatremia
hyperopia,myopia
hyperparathyroidism,hypoparathyroidism
hyperpigmentation,hypopigmentation
hyperpnea,hypopnea
hypersomnia,insomnia
hypertensive,hypotensive
hypertensive,normotensive
hyperthermia,hypothermia
hyperthyroidism,hypothyroidism
hypertonia,hypotonia
hypertonia,hypotonicity
hypertonia,hypotonus
hypertonic,hypotonic
hypertonic,hypotonic
hypertonic,isotonic
hypertonicity,hypotonicity
hypertrophied,atrophied
hypervolemia,hypovolemia
hypocalcemia,hypercalcemia
hypocapnia,hypercapnia
hypoglycemia,hyperglycemia
hypokalemia,hyperkalemia
hyponatremia,hypernatremia
hypoparathyroidism,hyperparathyroidism
hypopigmentation,hyperpigmentation
hypopnea,hyperpnea
hypotension,hypertension
hypotensive,hypertensive
hypotensive,normotensive
hypothermia,hyperthermia
hypothyroidism,hyperthyroidism
hypotonia,hypertonia
hypotonia,hypertonicity
hypotonia,hypertonus
hypotonic,hypertonic
hypotonic,hypertonic
hypotonic,isotonic
hypotonicity,hypertonicity
hypovolemia,hypervolemia
identical,fraternal
identifiable,unidentifiable
idiographic,nomothetic
idle,busy
idle,run
idle,work
igneous,aqueous
ignite,extinguish
ignoble,noble
ignore,know
ignore,notice
ill,well
ill,well
ill,well
ill-advised,well-advised
ill-being,well-being
ill-defined,well-defined
ill-natured,good-natured
illegal,legal
illegality,legality
illegally,lawfully
illegibility,legibility
illegible,legible
illegibly,legibly
illegitimacy,legitimacy
illegitimate,legitimate
illegitimately,legitimately
illegitimately,legitimately
illegitimately,licitly
illiberality,liberality
illicit,licit
illicitness,licitness
illiteracy,literacy
illiterate,literate
illiterate,literate
illness,wellness
illness,wellness
illogical,logical
illogicality,logicality
illogicality,logicalness
illogically,logically
imaginatively,unimaginatively
imbalance,balance
imitation,formalism
imitative,nonimitative
immanent,transeunt
immaterial,material
immaterial,material
immateriality,corporeality
immateriality,materiality
immateriality,materiality
immature,mature
immature,mature
immaturely,maturely
immaturity,maturity
immeasurable,measurable
immeasurably,measurably
immediacy,mediacy
immediate,mediate
immigrate,emigrate
immiscible,miscible
immobile,mobile
immobility,mobility
immoderate,moderate
immoderately,moderately
immoderation,moderation
immodest,modest
immodest,modest
immodestly,modestly
immodesty,modesty
immoral,moral
immorality,morality
immorally,morally
immortal,mortal
immortality,mortality
immotility,motility
immovability,movability
immovability,movableness
immunocompetence,immunodeficiency
immunocompetent,immunodeficient
immunodeficiency,immunocompetence
immunodeficient,immunocompetent
immutability,mutability
immutability,mutableness
immutable,mutable
impaired,unimpaired
impalpable,palpable
impartial,partial
impartiality,partiality
impassable,passable
impatience,patience
impatient,patient
impatiently,patiently
impenetrability,penetrability
impenetrability,perviousness
impenetrable,penetrable
impenitent,penitent
impenitent,repentant
impenitently,penitently
impenitently,repentantly
imperative,beseeching
imperceptibility,perceptibility
imperceptible,perceptible
imperceptibly,perceptibly
imperfect,perfect
imperfectibility,perfectibility
imperfection,perfection
imperfectly,perfectly
imperishable,perishable
impermanence,permanence
impermanent,permanent
impermeability,permeability
impermeable,permeable
impermissibility,permissibility
impermissible,permissible
impermissibly,permissibly
impersonal,personal
impersonally,personally
impervious,pervious
impiety,piety
impious,pious
implacable,placable
implausibility,plausibility
implausible,plausible
implicit,explicit
implicitly,explicitly
implode,explode
impolite,polite
impolitely,courteously
impolitely,politely
impoliteness,politeness
impolitic,politic
imponderable,ponderable
import,export
import,export
import,export
importance,unimportance
important,unimportant
impossibility,possibility
impossible,possible
impossibly,possibly
impotence,potence
impotence,potency
impotent,potent
impotent,potent
impoverish,enrich
impracticability,practicability
impracticability,practicableness
impractical,practical
impracticality,practicality
imprecise,precise
imprecisely,exactly
imprecisely,precisely
impreciseness,preciseness
impreciseness,precision
impressionable,unimpressionable
impressive,unimpressive
impressively,unimpressively
improbability,probability
improbable,probable
improper,proper
improperly,properly
impropriety,properness
impropriety,propriety
improved,unimproved
improvement,decline
improvidence,providence
improvident,provident
improvidently,providently
imprudence,prudence
imprudent,prudent
imprudently,prudently
impure,pure
impure,pure
impurity,purity
in-basket,out-basket
inability,ability
inability,ability
inaccessibility,accessibility
inaccessibility,availability
inaccessible,accessible
inaccuracy,accuracy
inaccurate,accurate
inaccurately,accurately
inaction,action
inaction,activeness
inaction,activity
inactivate,activate
inactivation,activation
inactive,active
inactive,active
inactive,active
inactive,active
inactive,active
inactiveness,activeness
inactivity,activity
inadequacy,adequacy
inadequate,adequate
inadequately,adequately
inadmissibility,admissibility
inadmissible,admissible
inadvisability,advisability
inadvisable,advisable
inaesthetic,aesthetic
inalienable,alienable
inanimate,animate
inanimate,animate
inanimateness,animateness
inapplicability,applicability
inappropriate,appropriate
inappropriately,appropriately
inappropriately,suitably
inappropriateness,appropriateness
inappropriateness,appropriateness
inaptitude,aptitude
inaptness,appositeness
inaptness,aptness
inarticulate,articulate
inarticulately,articulately
inattention,attention
inattentive,attentive
inattentiveness,attentiveness
inattentiveness,attentiveness
inaudibility,audibility
inaudible,audible
inaudibly,audibly
inaugural,exaugural
inauspicious,auspicious
inauspiciously,auspiciously
inauspiciously,propitiously
inauspiciousness,auspiciousness
inauspiciousness,propitiousness
inboard,outboard
inbred,outbred
incalculable,calculable
incapability,capability
incapability,capability
incapability,capableness
incapable,capable
incapable,capable
incapacity,capacity
incapacity,capacity
incarnate,disincarnate
incaution,caution
incautious,cautious
incautiously,carefully
incautiously,cautiously
incentive,disincentive
incidental,basic
incivility,civility
inclement,clement
inclement,clement
inclination,disinclination
inclined,disinclined
inclined,horizontal
inclined,vertical
include,exclude
include,exclude
inclusion,exclusion
inclusive,exclusive
incognizance,cognizance
incoherence,coherence
incoherent,coherent
