9/11,9-11
acquire,win
acquiring,getting
acquit,assoil
acquit,clear
acquit,discharge
acquit,exculpate
acquit,exonerate
acquittance,release
acridity,acridness
acridity,acridness
acrimonious,bitter
acroanesthesia,acroanaesthesia
acrobatic,athletic
acrobatic,gymnastic
acrobatics,aerobatics
acrobatics,stunting
acrobatics,tumbling
acrogenic,acrogenous
acromegaly,acromegalia
acromicria,acromikria
acronymic,acronymous
across,crossways
across,crosswise
across-the-board,all-embracing
across-the-board,all-encompassing
across-the-board,all-inclusive
across-the-board,blanket
across-the-board,broad
across-the-board,encompassing
across-the-board,extensive
across-the-board,panoptic
across-the-board,wide
acrylonitrile-butadiene-styrene,ABS
act,behave
act,bit
act,deed
act,do
act,enactment
act,move
act,number
act,play
act,play
act,play
act,playact
act,represent
act,roleplay
act,routine
act,turn
acting,performing
acting,playacting
acting,playing
actinia,actinian
actinia,actiniarian
actinium,Ac
actinoid,actinide
actinoid,actinon
actinometric,actinometrical
actinomorphic,actinomorphous
actinomycetal,actinomycetous
action,activeness
action,activity
action,litigate
action,process
action,sue
activate,aerate
activated,excited
activating,actuating
active,alive
active,combat-ready
active,dynamic
active,fighting
active,participating
activeness,activity
activist,activistic
actor,doer
actor,histrion
actor,player
actor,thespian
actor,worker
actual,existent
actual,factual
actual,genuine
actual,literal
actual,real
actualize,actualise
actually,really
acuate,acute
acuate,needlelike
acuate,sharp
acuity,sharp-sightedness
aculeate,aculeated
acupressure,G-Jo
acupressure,shiatsu
acupuncture,stylostixis
acute,discriminating
acute,incisive
acute,intense
acute,keen
acute,knifelike
acute,penetrating
acute,penetrative
acute,piercing
acute,sharp
acuteness,acuity
acuteness,keenness
acuteness,sharpness
acyclic,open-chain
acyclovir,Zovirax
ad,advert
ad,advertisement
ad,advertising
ad,advertizement
ad,advertizing
ad-lib,extemporaneous
ad-lib,extemporary
ad-lib,extempore
ad-lib,impromptu
ad-lib,off-the-cuff
ad-lib,offhand
ad-lib,offhanded
ad-lib,spontaneous
ad-lib,unrehearsed
ad-lib,unwritten
adactylia,adactylism
adactylia,adactyly
adamance,obduracy
adamance,unyieldingness
adamant,adamantine
adamant,inexorable
adamant,intransigent
adapt,accommodate
adaptation,adaption
adaptation,adjustment
adaptation,version
adapted,altered
adapter,adaptor
adaptive,adaptative
adaxial,ventral
add,append
add,supply
addable,addible
addendum,postscript
addendum,supplement
addict,freak
addict,hook
addict,junkie
addict,junky
addict,nut
addiction,dependance
addiction,dependence
addiction,dependency
addiction,habituation
addictive,habit-forming
addition,add-on
addition,gain
addition,improver
addition,increase
addle,muddle
addle,puddle
addle-head,addlehead
addle-head,birdbrain
addle-head,loon
addlebrained,addlepated
addlebrained,muddleheaded
addlebrained,puddingheaded
addled,befuddled
addled,muddled
addled,muzzy
addled,woolly
addled,woolly-headed
addled,wooly
addled,wooly-minded
address,accost
address,call
address,destination
address,direct
address,reference
address,speak
address,speech
adduce,abduce
adduce,cite
adducent,adducting
adducent,adductive
adenine,A
adenoidal,nasal
adenoidal,pinched
adept,expert
adept,good
adept,practiced
adept,proficient
adept,skilful
adept,skillful
adeptness,adroitness
adeptness,deftness
adeptness,facility
adeptness,quickness
adequacy,adequateness
adequate,decent
adequate,enough
adequate,equal
adequate,passable
adequate,tolerable
adhere,bind
adhere,bond
adhere,stick
adhere,stick
adhesiveness,adherence
adhesiveness,adhesion
adhesiveness,bond
adieu,adios
adieu,arrivederci
adieu,bye
adieu,bye-bye
adieu,cheerio
adieu,good-by
adieu,good-bye
adieu,goodby
adieu,goodbye
adieu,sayonara
adiposity,adiposeness
adiposity,fattiness
adjacency,contiguity
adjacency,contiguousness
adjacent,conterminous
adjacent,contiguous
adjacent,neighboring
adjacent,next
adjectival,adjective
adjective,procedural
adjourn,recess
adjourn,retire
adjourn,withdraw
adjournment,dissolution
adjudicative,adjudicatory
adjunct,assistant
adjust,adapt
adjust,conform
adjust,correct
adjust,set
adjusted,familiarised
adjusted,familiarized
adjuster,adjustor
adjustment,accommodation
adjustment,fitting
adjustment,readjustment
adjustment,registration
adjutant,aide
adjutant,aide-de-camp
administer,administrate
administer,dispense
administration,brass
administration,disposal
administration,establishment
administration,governance
administration,judicature
administration,organisation
administration,organization
administrator,executive
admirability,admirableness
admirability,wonderfulness
admirably,commendable
admirably,laudably
admirably,praiseworthily
admiration,appreciation
admiration,esteem
admirer,adorer
admission,admittance
admit,acknowledge
admit,allow
admit,include
admit,intromit
admittable,admittible
admixture,alloy
admixture,intermixture
admonish,reprove
admonisher,monitor
admonisher,reminder
admonition,admonishment
admonition,monition
admonition,monition
admonition,warning
admonitory,admonishing
admonitory,cautionary
admonitory,exemplary
admonitory,monitory
admonitory,reproachful
admonitory,reproving
admonitory,warning
adnexa,annexa
adnexal,annexal
adolescent,jejune
adolescent,juvenile
adolescent,puerile
adolescent,stripling
adolescent,teen
adolescent,teen
adolescent,teenage
adolescent,teenaged
adolescent,teenager
adopt,borrow
adopt,espouse
adopt,follow
adopted,adoptive
adoption,acceptance
adoption,acceptation
adoption,espousal
adorability,adorableness
adorable,endearing
adorable,lovely
adorably,endearingly
adoration,idolisation
adoration,idolization
adoration,latria
adored,idolised
adored,idolized
adored,worshipped
adoring,doting
adoring,fond
adoring,worshipful
adorned,decorated
adrenalectomy,suprarenalectomy
adrenergic,sympathomimetic
adrenocorticotropic,adrenocorticotrophic
adrift,afloat
adrift,aimless
adrift,directionless
adrift,planless
adrift,rudderless
adrift,undirected
adscript,adscripted
adsorbable,adsorbate
adsorbent,adsorptive
adsorbent,surface-assimilative
adult,big
adult,full-grown
adult,grown
adult,grownup
adult,grownup
adulterant,adulterator
adulterate,adulterated
adulterate,debased
adulterating,adulterant
adulteration,debasement
adulterer,fornicator
adulteress,fornicatress
adulteress,hussy
adulteress,jade
adulteress,slut
adulteress,strumpet
adulteress,trollop
adulterous,cheating
adulterous,extracurricular
adulterous,extramarital
adulterous,two-timing
adultery,fornication
adulthood,maturity
adumbrative,foreshadowing
adumbrative,prefigurative
adust,baked
adust,parched
adust,scorched
adust,sunbaked
advance,advanced
advance,beforehand
advance,gain
advance,progress
advance,rise
advanced,forward-looking
advanced,innovative
advanced,modern
advanced,ripe
advanced,sophisticated
advancement,progress
advancing,forward
advancing,forward-moving
advantage,reward
advantage,vantage
advent,coming
adventure,escapade
adventurer,venturer
adventurous,adventuresome
adventurousness,venturesomeness
adversary,antagonist
adversary,opponent
adversary,opposer
adversary,resister
adversative,oppositive
adverse,contrary
adverse,inauspicious
adverse,untoward
adversity,hardship
advertence,advertency
advertent,heedful
advertise,advertize
advertise,advertize
advertise,promote
advertise,publicise
advertise,publicize
advertise,push
advertiser,adman
advertiser,advertizer
advertising,publicizing
advise,apprise
advise,apprize
advise,notify
adviser,advisor
adviser,consultant
advisory,consultative
advisory,consultatory
advisory,consultive
advocacy,protagonism
advocate,advocator
advocate,counsel
advocate,counsellor
advocate,counselor
advocate,counselor-at-law
advocate,exponent
advocate,pleader
advocate,proponent
adynamic,asthenic
adynamic,debilitated
adynamic,enervated
adz,adze
aeolotropic,eolotropic
aerated,charged
aerie,aery
aerie,aery
aerie,eyrie
aerie,eyrie
aerie,eyry
aerie,eyry
aeriform,aerial
aeriform,aery
aeriform,airlike
aeriform,airy
aeriform,ethereal
aerobic,aerophilic
aerobic,aerophilous
aeromechanics,aerodynamics
aeronautical,aeronautic
aeronautics,astronautics
aerosolize,aerosolise
aerosolize,aerosolise
aerosolized,aerosolised
aesculapian,medical
aesthetic,aesthetical
aesthetic,artistic
aesthetic,esthetic
aesthetic,esthetic
aesthetic,esthetic
aesthetic,esthetic
aesthetic,esthetical
aesthetically,esthetically
aesthetics,esthetics
aestival,estival
afeard,afeared
affability,affableness
affability,amiability
affability,amiableness
affability,bonhomie
affability,geniality
affable,amiable
affable,cordial
affable,genial
affably,amiably
affably,genially
affair,affaire
affair,amour
affair,function
affair,intimacy
affair,involvement
affair,liaison
affair,occasion
affect,impact
affect,impress
affect,move
affect,strike
affect,touch
affectation,affectedness
affectation,mannerism
affectation,pose
affected,unnatural
affecting,poignant
affecting,touching
affectingly,poignantly
affectingly,touchingly
affection,affectionateness
affection,fondness
affection,heart
affection,philia
affection,tenderness
affection,warmheartedness
affection,warmness
affectional,affective
affectional,emotive
affectionate,fond
affectionate,lovesome
affectionate,tender
affectionate,warm
affectionateness,fondness
affectionateness,lovingness
affectionateness,warmth
affiliated,attached
affiliated,connected
affiliation,association
affiliation,tie
affiliation,tie-up
affinal,affine
affinity,kinship
affirm,assert
affirm,aver
affirm,avow
affirm,swan
affirm,swear
affirm,verify
affirmable,assertable
affirmation,assertion
affirmation,statement
affirmative,affirmatory
affirmative,optimistic
affixal,affixial
afflict,smite
afflicted,impaired
afflicted,stricken
afflictive,painful
afflictive,sore
affluence,richness
affluent,flush
affluent,loaded
affluent,moneyed
affluent,wealthy
afford,give
afford,open
afforest,forest
affranchise,enfranchise
affray,altercation
affray,disturbance
affray,fracas
affray,fray
affray,ruffle
affricate,affricative
afield,abroad
aflare,flaring
afloat,awash
afloat,flooded
afloat,inundated
afloat,overflowing
aflutter,nervous
afoot,underway
aforesaid,aforementioned
aforesaid,said
aforethought,planned
aforethought,plotted
afoul,foul
afoul,fouled
afresh,anew
aft,abaft
aft,astern
afterimage,aftersensation
afterlife,hereafter
aftermath,backwash
aftermath,wake
agalactia,agalactosis
agamic,agamogenetic
agamic,agamous
agamic,apomictic
agamic,parthenogenetic
agape,gaping
agar,agar-agar
agaze,staring
age,eld
age-old,antique
aged,cured
aged,elderly
aged,elderly
aged,older
aged,ripened
aged,senior
agedness,senescence
ageism,agism
ageless,aeonian
ageless,eonian
ageless,eternal
ageless,everlasting
ageless,perpetual
ageless,unceasing
ageless,unending
agency,authority
agency,bureau
agency,office
agenda,agendum
agenda,docket
agenda,schedule
agenesis,agenesia
agent,broker
agent,factor
agglomerate,agglomerated
agglomerate,agglomerative
agglomerate,clustered
agglutinate,agglutinative
agglutinative,polysynthetic
aggrandizement,aggrandisement
aggrandizement,elevation
aggravated,provoked
aggravating,exacerbating
aggravating,exasperating
aggravation,exacerbation
aggravation,exasperation
aggravation,irritation
aggravation,provocation
aggravator,annoyance
aggregate,aggregated
aggregate,aggregative
aggregate,combine
aggregate,congeries
aggregate,conglomeration
aggregate,mass
aggression,aggressiveness
aggression,hostility
aggressive,belligerent
aggressive,fast-growing
aggressive,strong-growing
aggressively,sharply
aggressiveness,belligerence
aggressiveness,pugnacity
aghast,appalled
aghast,dismayed
aghast,shocked
agile,nimble
agile,nimble
agile,quick
agile,spry
agilely,nimbly
agility,legerity
agility,lightness
agility,lightsomeness
agility,nimbleness
aging,ageing
aging,ageing
aging,senescence
aging,senescent
agio,agiotage
agio,premium
agitate,charge
agitate,commove
agitate,commove
agitate,disturb
agitate,excite
agitate,foment
agitate,rouse
agitate,vex
agitation,excitement
agitation,ferment
agitation,fermentation
agitation,hullabaloo
agitation,tempestuousness
agitation,turmoil
agitation,unrest
agitation,upheaval
agitative,agitating
agitative,provoking
agitator,fomenter
agleam,gleaming
agleam,nitid
aglet,aiglet
aglet,aiglet
aglet,aiguilette
aglitter,coruscant
aglitter,fulgid
aglitter,glinting
aglitter,glistering
aglitter,glittering
aglitter,glittery
aglitter,scintillant
aglitter,scintillating
aglitter,sparkly
aglow,lambent
aglow,lucent
aglow,luminous
agnate,agnatic
agnate,paternal
agnate,patrikin
agnate,patrisib
agnostic,agnostical
agnostic,doubter
agnosticism,scepticism
agnosticism,skepticism
ago,agone
agonistic,agonistical
agonistic,combative
agonistic,strained
agonize,agonise
agonize,agonise
agonized,agonised
agonizing,agonising
agonizing,excruciating
agonizing,harrowing
agonizing,torturesome
agonizing,torturing
agonizing,torturous
agonizingly,excruciatingly
agonizingly,torturously
agony,excruciation
agony,suffering
agony,torment
agony,torture
agranulocytosis,agranulosis
agranulocytosis,granulocytopenia
agraphia,anorthography
agraphia,logagraphia
agrarian,agricultural
agrarian,farming
agree,concord
agree,concur
agree,hold
agreeableness,agreeability
agreeableness,amenity
agreement,accord
agreement,arrangement
agreement,concord
agreement,correspondence
agreement,understanding
agrestic,rustic
agribusiness,agriculture
agriculturist,agriculturalist
agriculturist,cultivator
agriculturist,grower
agriculturist,raiser
agrimonia,agrimony
agrobiologic,agrobiological
agrologic,agrological
agronomic,agronomical
ahead,before
ahead,beforehand
ahead,forrader
ahead,forward
ahead,forward
ahead,forwards
ahead,leading
ahead,onward
ahead,onwards
ahorse,ahorseback
aid,assist
aid,assistance
aid,assistance
aid,help
aid,help
aide,auxiliary
aigrette,aigret
ailing,indisposed
ailing,peaked
ailing,poorly
ailing,seedy
ailing,sickly
ailing,unwell
ailment,complaint
ailment,ill
aim,direct
aim,object
aim,objective
aim,propose
aim,purport
aim,purpose
aim,take
aim,target
aim,train
aimless,drifting
aimless,floating
aimless,vagabond
aimless,vagrant
air,airwave
air,atmosphere
air,aura
air,beam
air,broadcast
air,send
air,transmit
air-cool,air-condition
air-ship,air-freight
air-ship,airfreight
air-to-surface,air-to-ground
aircraftsman,aircraftman
airdock,hangar
aired,airy
airfield,field
airfoil,aerofoil
airfoil,surface
airheaded,dizzy
airheaded,empty-headed
airheaded,featherbrained
airheaded,giddy
airheaded,light-headed
airheaded,lightheaded
airheaded,silly
airiness,buoyancy
airiness,delicacy
airless,close
airless,stuffy
airless,unaired
airlift,lift
airlift,lift
airline,airway
airmail,airpost
airplane,aeroplane
airplane,plane
airport,aerodrome
airport,airdrome
airport,drome
airs,pose
airship,dirigible
airsick,carsick
airsick,seasick
airstrip,strip
airtight,air-tight
airtight,air-tight
airtight,gas-tight
airy,Laputan
airy,impractical
airy,visionary
airy,windy
aisle,gangway
akaryocyte,acaryote
akaryocyte,akaryote
akin,blood-related
akin,cognate
akin,consanguine
akin,consanguineal
akin,consanguineous
akin,kin
akin,kindred
akinesis,akinesia
al-Fatah,Fatah
al-Fatah,al-Asifa
al-Qaeda,Base
al-Qaeda,Qaeda
al-Qaeda,al-Qa'ida
al-Qaeda,al-Qaida
alabaster,alabastrine
alacrity,briskness
alacrity,smartness
alar,alary
alar,aliform
alar,wing-shaped
alarm,alarum
alarm,alert
alarm,alert
alarm,consternation
alarm,dismay
alastrim,pseudosmallpox
alastrim,pseudovariola
alate,alated
albatross,millstone
albatross,mollymawk
albinal,albinic
albinal,albinistic
albinal,albinotic
albizzia,albizia
albumin,albumen
albuminuria,proteinuria
albuterol,Proventil
albuterol,Ventolin
alchemic,alchemical
alchemistic,alchemistical
alchemize,alchemise
alcohol,inebriant
alcohol,intoxicant
alcoholic,alcohol-dependent
alcoholic,alky
alcoholic,boozer
alcoholic,dipsomaniac
alcoholic,lush
alcoholic,soaker
alcoholic,souse
alcoholism,drunkenness
alcoholism,inebriation
alcoholize,alcoholise
alcoholize,alcoholise
alcove,bay
aldermanic,aldermanly
aldol,aldehyde-alcohol
aldosteronism,hyperaldosteronism
alendronate,Fosamax
aleph-null,aleph-nought
aleph-null,aleph-zero
alert,alerting
alert,alive
alert,awake
alert,brisk
alert,lively
alert,merry
alert,rattling
alert,snappy
alert,spanking
alert,watchful
alert,zippy
alertness,alerting
alertness,sharp-sightedness
alexic,word-blind
alfalfa,lucerne
alfresco,open-air
alga,algae
algarroba,algarobilla
algarroba,algarrobilla
algebraic,algebraical
algolagnia,algophilia
algometric,algometrical
alias,a.k.a.
alidade,alidad
alidade,alidad
alien,alienate
alien,exotic
alien,foreign
alienage,alienism
alienated,anomic
alienated,disoriented
alienated,estranged
alienation,disaffection
alienation,estrangement
alienation,estrangement
alienee,grantee
alight,light
alight,perch
align,adjust
align,aline
align,array
align,coordinate
align,ordinate
aligning,positioning
alike,like
alike,likewise
alike,similar
alimentary,alimental
alimentary,nourishing
alimentary,nutrient
alimentary,nutritious
alimentary,nutritive
alimony,maintenance
alive,live
alive,live
alizarin,alizarine
alkahest,alcahest
alkalescent,alcalescent
alkaline,alkalic
alkalinize,alkalinise
alkalinize,alkalinise
alkalinuria,alkaluria
alkalize,alkalify
alkalize,alkalise
alkalize,basify
alkapton,alcapton
alkaptonuria,alcaptonuria
alkene,olefin
alkene,olefine
all-around,all-round
all-around,well-rounded
all-important,crucial
all-important,essential
all-knowing,omniscient
all-or-none,all-or-nothing
all-out,full-scale
allantoid,sausage-shaped
allegation,allegement
allege,aver
allege,say
alleged,so-called
alleged,supposed
allegiance,fealty
allegorical,allegoric
allegorize,allegorise
allegorize,allegorise
allegorizer,allegoriser
allele,allelomorph
allelic,allelomorphic
allergic,hypersensitised
allergic,hypersensitive
allergic,hypersensitized
allergic,sensitised
allergic,sensitized
allergic,supersensitised
allergic,supersensitive
allergic,supersensitized
alleviated,eased
alleviated,relieved
alleviative,alleviatory
alleviative,lenitive
alleviative,mitigative
alleviative,mitigatory
alleviative,palliative
alley,alleyway
alliance,alignment
alliance,alinement
alliance,bond
alliance,coalition
alliance,confederation
allied,confederate
allied,confederative
alligator,gator
alligatored,cracked
allocable,allocatable
allocable,apportionable
allocate,apportion
allocator,distributor
allopurinol,Zyloprim
allosaur,allosaurus
allotment,allocation
allotment,allocation
allotment,apportioning
allotment,apportionment
allotment,assignation
allotment,parceling
allotment,parcelling
allotropic,allotropical
allotropy,allotropism
allow,appropriate
allow,earmark
allow,grant
allow,permit
allow,reserve
allow,tolerate
allowance,adjustment
allowance,leeway
allowance,margin
allowance,tolerance
alloy,metal
allude,advert
allude,touch
allure,allurement
allure,temptingness
alluring,beguiling
alluring,enticing
alluring,tempting
ally,friend
almandite,almandine
almighty,all-powerful
almighty,omnipotent
almond-shaped,amygdaliform
almond-shaped,amygdaloid
almond-shaped,amygdaloidal
alms-giving,almsgiving
aloha,ciao
alone,lone
alone,lonely
alone,only
alone,solitary
alone,solo
alone,unaccompanied
alone,unequaled
alone,unequalled
alone,unique
alone,unparalleled
aloneness,loneliness
aloneness,lonesomeness
aloneness,solitariness
along,on
aloof,distant
aloof,upstage
aloofness,remoteness
aloofness,standoffishness
aloofness,withdrawnness
alpestrine,subalpine
alphabetic,alphabetical
alphabetic,alphabetical
alphabetization,alphabetisation
alphabetize,alphabetise
alphabetized,alphabetised
alphabetizer,alphabetiser
alphanumeric,alphameric
alphanumeric,alphamerical
alphanumeric,alphanumerical
alprazolam,Xanax
altarpiece,reredos
alter,castrate
alter,neuter
alter,spay
alteration,adjustment
alteration,modification
altered,neutered
alternate,alternating
alternate,alternative
alternate,jump
alternate,substitute
alternatively,instead
althea,althaea
althea,hollyhock
altitude,height
alto,contralto
altruism,selflessness
altruistic,selfless
altruistically,selflessly
alula,calypter
aluminize,aluminise
aluminum,Al
aluminum,aluminium
alumnus,alum
alumnus,alumna
alumnus,grad
alumnus,graduate
alumroot,alumbloom
alveolate,cavitied
alveolate,faveolate
alveolate,honeycombed
alveolate,pitted
always,e'er
always,ever
alyssum,madwort
amalgamate,amalgamated
amalgamate,coalesced
amalgamate,consolidated
amalgamate,fused
amalgamation,merger
amalgamation,uniting
amaranthine,unfading
amateur,recreational
amateur,unpaid
amateurish,amateur
amateurish,inexpert
amateurish,unskilled
amative,amorous
amatory,amorous
amatory,romantic
amaze,astonish
amaze,astound
amazed,astonied
amazed,astonished
amazed,astounded
amazed,stunned
amazing,astonishing
amazing,awe-inspiring
amazing,awesome
amazing,awful
amazing,awing
amazingly,astonishingly
amazingly,surprisingly
amazon,virago
ambassador,embassador
amber,brownish-yellow
amber,gold
amber,yellow-brown
amberjack,amberfish
ambiance,ambience
ambidexterity,ambidextrousness
ambidextrous,Janus-faced
ambidextrous,deceitful
ambidextrous,double-dealing
ambidextrous,double-faced
ambidextrous,double-tongued
ambidextrous,duplicitous
ambidextrous,two-faced
ambidextrous,two-handed
ambiguity,equivocalness
ambiguously,equivocally
ambition,ambitiousness
ambition,aspiration
ambition,dream
ambitious,challenging
ambitiously,determinedly
ambivalence,ambivalency
amble,mosey
amble,perambulation
amble,promenade
amble,saunter
amble,stroll
ambrosia,nectar
ambrosial,ambrosian
ambrosial,ambrosian
ambrosial,nectarous
ambulant,ambulatory
ambush,ambuscade
ambush,ambuscade
ambush,bushwhack
ambush,lurk
ambush,scupper
ambush,trap
ambush,waylay
ameba,amoeba
amebiasis,amebiosis
amebiasis,amoebiasis
amebiasis,amoebiosis
ameboid,amoeboid
ameliorating,ameliorative
ameliorating,amelioratory
ameliorating,meliorative
amelioration,betterment
amelioration,melioration
amenability,amenableness
amenability,cooperativeness
amenable,conformable
amenable,tractable
amendable,correctable
amenorrhea,amenia
amenorrhea,amenorrhoea
amenorrheic,amenorrheal
amenorrheic,amenorrhoeal
amenorrheic,amenorrhoeic
amentiferous,amentaceous
americium,Am
ametabolic,ametabolous
amiable,good-humored
amiable,good-humoured
amicability,amicableness
amicability,amicableness
amidships,amidship
amidships,midships
amine,aminoalkane
amino,aminic
aminopyrine,amidopyrine
amiodarone,Cordarone
amiss,awry
amiss,haywire
amiss,wrong
amitriptyline,Elavil
amity,cordiality
ammoniac,ammoniacal
ammonite,ammonoid
ammunition,ammo
amnesia,blackout
amnesic,amnesiac
amnesic,amnesiac
amnestic,amnesic
amnesty,pardon
amniocentesis,amnio
amnion,amnios
amniotic,amnic
amniotic,amnionic
amoebic,ameban
amoebic,amebic
amoebic,amebous
amoebic,amoeban
amoebic,amoebous
amok,amuck
amok,amuck
amok,murderously
amorousness,amativeness
amorousness,enamoredness
amorousness,eroticism
amorousness,erotism
amorousness,sexiness
amorphous,formless
amorphous,shapeless
amorphous,uncrystallised
amorphous,uncrystallized
amorphous,unstructured
amortization,amortisation
amortization,amortisation
amortize,amortise
amoxicillin,Amoxil
amoxicillin,Augmentin
amoxicillin,Larotid
amoxicillin,Polymox
amoxicillin,Trimox
ampere,A
ampere,amp
amphetamine,speed
amphetamine,upper
amphibiotic,semiaquatic
amphibious,amphibian
amphibology,amphiboly
amphiprostylar,amphiprostyle
amphiprostylar,amphistylar
amphiprostylar,porticoed
amphitheater,amphitheatre
amphitheater,amphitheatre
amphitheater,coliseum
amphitheatric,amphitheatrical
amphoteric,amphiprotic
ampicillin,Polycillin
ampicillin,Principen
ampicillin,SK-Ampicillin
ample,copious
ample,plenteous
ample,plentiful
ample,rich
ample,sizable
ample,sizeable
amplification,elaboration
amplification,gain
amplitude,bountifulness
amplitude,bounty
amply,fully
amply,richly
ampullar,ampullary
amrinone,Inocor
amuck,amok
amuck,berserk
amuck,demoniac
amuck,demoniacal
amuck,possessed
amulet,talisman
amuse,disport
amuse,divert
amused,diverted
amused,entertained
amusing,amusive
amusing,comic
amusing,comical
amusing,diverting
amusing,funny
amusing,laughable
amusing,mirthful
amusing,risible
amusingly,divertingly
amyotrophia,amyotrophy
anachronic,anachronistic
anachronic,anachronous
anachronism,misdating
anachronism,mistiming
anacoluthia,anacoluthon
anadiplosis,reduplication
anaerobic,anaerobiotic
anaesthetic,anesthetic
anaglyphic,anaglyphical
anaglyphic,anaglyptic
anaglyphic,anaglyptical
anagogic,anagogical
anagram,anagrammatise
anagram,anagrammatize
anagrammatic,anagrammatical
analects,analecta
analgesic,analgetic
analgesic,anodyne
analgesic,anodyne
analgesic,painkiller
analogize,analogise
analogous,correspondent
analogue,analog
analogue,analog
analogue,linear
analogue,parallel
analphabet,analphabetic
analphabetic,unlettered
analyst,psychoanalyst
analytic,analytical
analytic,analytical
analytic,uninflected
analyzable,decomposable
analyze,analyse
analyze,analyse
analyze,analyse
analyze,analyse
analyze,canvas
analyze,canvass
analyze,dissect
analyze,examine
analyze,psychoanalyse
analyze,psychoanalyze
analyze,study
analyzer,analyser
anamorphosis,anamorphism
anamorphosis,anamorphism
anapest,anapaest
anapestic,anapaestic
anarchic,anarchical
anarchic,lawless
anarchist,nihilist
anarchist,syndicalist
anarchy,lawlessness
anastigmatic,stigmatic
anastigmatic,stigmatic
anastomose,inosculate
anastomose,inosculate
anastomosis,inosculation
anastrophe,inversion
anathematization,anathematisation
anatomic,anatomical
anatomic,anatomical
anatomize,anatomise
anatoxin,toxoid
anatropous,inverted
ancestor,antecedent
ancestor,ascendant
ancestor,ascendent
ancestor,root
ancestral,hereditary
ancestral,patrimonial
ancestral,transmissible
ancestry,derivation
ancestry,filiation
ancestry,lineage
anchor,anchorman
anchor,anchorperson
anchor,backbone
anchor,ground
anchor,keystone
anchor,linchpin
anchor,lynchpin
anchor,mainstay
anchorite,hermit
anchoritic,eremitic
anchoritic,eremitical
anchoritic,hermitic
anchoritic,hermitical
ancient,antediluvian
ancientness,antiquity
andiron,dog
andiron,dog-iron
andiron,firedog
andrena,andrenid
androgenesis,androgeny
androgenetic,androgenous
androgyny,bisexuality
androgyny,hermaphroditism
android,humanoid
anecdotic,anecdotal
anecdotic,anecdotical
anecdotist,raconteur
anemia,anaemia
anemia,anaemia
anemic,anaemic
anemic,anaemic
anemometric,anemometrical
anemone,windflower
anencephalic,anencephalous
anencephaly,anencephalia
anesthesia,anaesthesia
anesthesiologist,anaesthetist
anesthesiologist,anesthetist
anesthetic,anaesthetic
anesthetic,anaesthetic
anesthetize,anaesthetise
anesthetize,anaesthetize
anesthetize,anesthetise
anestrous,anestric
anestrous,anoestrous
anestrus,anestrum
anestrus,anoestrum
anestrus,anoestrus
aneurysm,aneurism
aneurysmal,aneurismal
aneurysmal,aneurismatic
aneurysmal,aneurysmatic
angel,backer
angelic,angelical
angelic,angelical
angelic,angelical
angelic,beatific
angelic,cherubic
angelic,sainted
angelic,saintlike
angelic,saintly
angelic,seraphic
angelic,sweet
angelica,angelique
angelim,andelmin
anger,angriness
anger,choler
anger,ire
angered,enraged
angered,furious
angered,infuriated
angered,maddened
anginal,anginose
anginal,anginous
angiocarpic,angiocarpous
angioedema,atrophedema
angiotensin,Hypertensin
angiotensin,angiotonin
angler,troller
anglicise,anglicize
anglophile,anglophil
angry,furious
angry,raging
angry,tempestuous
angry,wild
angstrom,A
anguish,torment
anguish,torture
anguished,tormented
anguished,tortured
angular,angulate
anhidrosis,anhydrosis
anil,indigo
anil,indigotin
aniline,aminobenzine
aniline,phenylamine
animal,beast
animal,brute
animal,carnal
animal,creature
animal,fauna
animal,fleshly
animal,sensual
animalcule,animalculum
animalism,physicality
animalize,animalise
animate,quicken
animate,reanimate
animate,recreate
animate,renovate
animate,repair
animate,revive
animate,revivify
animate,vivify
animated,alive
animateness,aliveness
animateness,liveness
animating,enlivening
animation,aliveness
animation,brio
animation,invigoration
animation,life
animation,living
animation,spiritedness
animation,vitality
animation,vivification
animist,animistic
animize,animate
animize,animise
animosity,animus
anise,aniseed
anisogamic,anisogamous
anisometric,unsymmetrical
ankle-deep,knee-deep
anklebone,astragal
anklebone,astragalus
anklebone,talus
anklet,anklets
anklet,bobbysock
anklet,bobbysocks
ankylosaur,ankylosaurus
ankylose,ancylose
ankylose,ancylose
ankylosis,anchylosis
anneal,normalize
anneal,temper
annealing,tempering
annelid,annelidan
annex,annexe
annex,extension
annex,wing
annexation,appropriation
annihilated,exterminated
annihilating,devastating
annihilating,withering
annihilation,disintegration
annihilation,obliteration
annihilative,annihilating
annihilative,devastating
annihilative,withering
annotate,footnote
annotation,annotating
announce,annunciate
announce,declare
announce,denote
announce,foretell
announce,harbinger
announce,herald
announced,proclaimed
announcement,annunciation
announcement,declaration
announcement,proclamation
announcement,promulgation
annoy,bother
annoy,chafe
annoy,devil
annoy,gravel
annoy,irritate
annoy,nark
annoy,nettle
annoy,rag
annoy,rile
annoy,vex
annoyance,annoying
annoyance,bother
annoyance,botheration
annoyance,chafe
annoyance,infliction
annoyance,irritation
annoyance,pain
annoyance,vexation
annoyance,vexation
annoyed,harassed
annoyed,harried
annoyed,irritated
annoyed,miffed
annoyed,nettled
annoyed,peeved
annoyed,pestered
annoyed,pissed
annoyed,riled
annoyed,roiled
annoyed,steamed
annoyed,stung
